"filename", "language", "C++", "CMake", "JSON", "HTML", "Markdown", "YAML", "Dart", "Swift", "XML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 12, 71
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 3, 50
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\main\kotlin\com\example\distrito7_mobile\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\Alejandro\Desktop\App - Distrito 7\distrito7_mobile\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
